coding,beta,se,pvalue,n,-Log10P,protein
1541,0.0681764975514943,0.00972416564637626,2.41151413538012e-12,32644,11.6177101880653,LACRT
1542,-0.043492563877551,0.0108395135623242,6.02221980585519e-05,36445,4.22024339715805,LACTB2
1543,0.0261151360027237,0.0103510069254766,0.0116415113127268,36462,1.93399063547896,LAG3
1544,-0.0729775180311901,0.00975646426700147,7.60416875364904e-14,36454,13.1189482537259,LAIR1
1545,-0.0196514351986438,0.0106780445697665,0.0657237076145808,36324,1.18227794506754,LAIR2
1546,0.0139724668949614,0.00988273904761837,0.157422993347983,31774,0.802931833890294,LAMA1
1547,0.0265230719673155,0.010775685859478,0.0138448919912022,36650,1.85871042798687,LAMA4
1548,-0.0139753523490482,0.00972042312179779,0.150520214277241,32002,0.822405172099734,LAMB1
1549,0.00394337886978534,0.00964211121485221,0.682561022446869,31941,0.165858515675841,LAMP1
1550,-0.0589959356394599,0.00987184522680543,2.30600165628182e-09,35566,8.63714038510992,LAMP2
1551,-0.0848160492846248,0.00960382185108441,1.07755927384612e-18,36818,17.9675588310547,LAMP3
1552,-0.0116808238098176,0.00998217964673851,0.241942036210297,32700,0.616288668603279,LAMTOR5
1553,-0.0600027454912766,0.0105994606976655,1.51705179683811e-08,35957,7.81899959080395,LAP3
1554,-0.0306491666527652,0.00997055497539713,0.00211406101304065,32700,2.67488248285428,LARP1
1555,-0.0564393269228099,0.0110313884148463,3.13232509599251e-07,36878,6.50413316996382,LAT
1556,-0.0430962034241455,0.010781189311069,6.41811674051513e-05,36462,4.1925923876923,LAT2
1557,-0.0456119112032256,0.00981066594704539,3.34532557756693e-06,31883,5.47556160893952,LATS1
1558,-0.00520047466394063,0.00987480752848771,0.598446407211594,36267,0.222974735975066,LAYN
1559,-0.0350235839288049,0.0105371900651305,0.000888849375312162,36560,3.05117182847086,LBP
1560,-0.0746781834717125,0.0107859594826177,4.47366310232316e-12,36821,11.3493367243769,LBR
1561,-0.0412859224769212,0.00924295109352476,7.96829167533329e-06,32831,5.098634777161,LCAT
