coding,beta,se,pvalue,n,protein,-Log10P
2470,0.00107352808706878,0.00127149162211432,0.398523149961224,8175,SLC13A1,0.399546445639518
2471,-0.00542584415195544,0.00131925643951894,3.94272977188345e-05,9242,SLC16A1,4.40420298772555
2472,-0.000793206852188551,0.00128200749844708,0.53611685525484,7998,SLC1A4,0.270740538551422
2473,-0.00113262191342646,0.0013223277841466,0.391723377413123,9242,SLC27A4,0.407020509691433
2474,-0.00162240006281833,0.00127858657897374,0.204513594156961,7934,SLC28A1,0.689277818849144
2475,-0.000521714809571227,0.00126747281724505,0.680630469926053,7934,SLC34A3,0.167088612653457
2476,-0.000641883396785606,0.00129902483824342,0.621228171553761,9242,SLC39A14,0.20674885804179
2477,-0.00297896354224603,0.00123903232959662,0.0162242880951422,9369,SLC39A5,1.7898343504989
2478,-0.000107145662770156,0.00127077130000655,0.932807737541891,7998,SLC44A4,0.0302078601431553
2479,0.000641753356172217,0.00126189584322303,0.611072327455785,8229,SLC4A1,0.213907382955625
2480,0.00114441414609844,0.00127461091635958,0.36929070245729,7974,SLC51B,0.432631626338526
2481,0.000716781105963943,0.00126940273054304,0.572320750539725,8036,SLC9A3R1,0.242360507662244
2482,-0.00266577401321361,0.00126075066395452,0.0345083909022385,8195,SLC9A3R2,1.46207529102932
2483,-0.000480814878522865,0.00126547844550318,0.703994865184773,7934,SLIRP,0.152430508514211
2484,-0.00492983451834027,0.00132888280263095,0.000208675108291929,9242,SLIT2,3.68052935244958
2485,-0.00517852544674439,0.00112273702750153,4.0422976815324e-06,7990,SLITRK1,5.39337170747422
2486,-0.00191852349250585,0.00128932635626067,0.136783005808115,9480,SLITRK2,0.863967856871926
2487,0.0014345589921699,0.00130631420753983,0.272157633868701,9234,SLITRK6,0.565179479459878
2488,0.00143484409525362,0.00129048835347061,0.266230965772051,8069,SLK,0.574741432400772
2489,0.000127861403368823,0.00128590189606213,0.920796721273482,8195,SLMAP,0.0358362357893958
2490,0.00829168730789224,0.00125190784402152,3.73677253259315e-11,8169,SLURP1,10.4275033380204
2491,0.000338778776138092,0.00130656153323323,0.795417054119836,9190,SMAD1,0.0994051017700305
2492,0.000521584282283564,0.00126213081228765,0.679429253957521,8175,SMAD2,0.167855757791561
2493,0.00179389477430266,0.00127010379381842,0.157870311460709,8175,SMAD3,0.801699534216364
2494,-0.00378603444784996,0.00128973945389938,0.00333817341405744,9370,SMAD5,2.47649110599949
2495,-0.00161777841838626,0.00133273224278819,0.224824218099491,9242,SMARCA2,0.648156908314445
2496,0.00023585258929461,0.00127963353673609,0.853772946196631,7934,SMC3,0.0686576109559044
2497,-0.00106782137845521,0.00125264592195368,0.393987847262738,8195,SMNDC1,0.404517173981865
2498,-0.00451411378724436,0.00122112081946019,0.000219656508196868,9480,SMOC1,3.65825592450832
2499,0.00210734089956437,0.00123447027037257,0.0878398912518077,9446,SMOC2,1.05630821056212
2500,-0.00125449221969685,0.0013212380713604,0.342399626369541,9466,SMPD1,0.465466717901821
2501,0.000709785091011711,0.00126581203087845,0.57499396613812,7990,SMPD3,0.240336712678488
2502,-0.000145756691652883,0.00134549455238899,0.913736666041662,9433,SMPDL3A,0.0391789475517634
2503,0.00209663338155286,0.00128326362468232,0.102333329377942,8175,SMPDL3B,0.989982896028841
2504,0.000373718525945188,0.00126681158586216,0.767996093636261,7962,SMS,0.114640988974387
2505,-0.00044206796048093,0.0012903286777563,0.731907413369258,8196,SMTN,0.13554385392249
2506,0.00115614898261092,0.00133731151108404,0.387317698209091,9378,SNAP23,0.411932657780412
2507,-0.000219277507859269,0.00124585605838526,0.860294112775095,7962,SNAP25,0.0653530490835252
2508,0.00143831210066488,0.00135674265981096,0.289116466918926,9445,SNAP29,0.538927171946224
2509,0.00248601012928687,0.00126941017327988,0.0502172382553597,8206,SNAPIN,1.29914717540323
2510,3.78762577108038e-05,0.00124105323364157,0.975653543894328,8036,SNCA,0.0107043736107163
2511,-0.00583767416874326,0.00120431671510607,1.27178068499761e-06,9344,SNCG,5.89558777509282
2512,-0.00241919808766217,0.00125520300103691,0.0539731562122336,8007,SNED1,1.26782218476084
2513,-0.00379552968130174,0.0012425971545094,0.00226149966851151,8210,SNRPB2,2.64560347157653
2514,0.000192089176365988,0.00128505571031105,0.881179261182257,7974,SNU13,0.0549357326516541
2515,-0.000656594670465669,0.00126661957624451,0.604205033912301,8036,SNX15,0.218815660738959
2516,-0.00162785852162957,0.00126623412360236,0.198622417902944,8195,SNX18,0.701971735588427
2517,-0.000300099999687774,0.00126488138090449,0.812464578189123,8175,SNX2,0.0901955642965867
2518,-7.68062725895122e-05,0.00126844314271912,0.951717827614997,8007,SNX5,0.0214917953913858
2519,0.000909973024046959,0.00134847471309914,0.499809000460226,9378,SNX9,0.301195927451234
2520,-0.00140871679435541,0.00130571180723911,0.28066595504151,9212,SOD1,0.551810264367058
2521,0.0042584394708634,0.00129048369200089,0.000970866553249354,9416,SOD2,3.01284046027763
2522,-0.000581065003120861,0.00117002533394681,0.619466108861083,8226,SOD3,0.20798244899291
2523,0.000271012708390304,0.00121615349328383,0.823662350827727,8206,SORBS1,0.0842507849346776
2524,-0.00525483431452857,0.00122141354343753,1.70819790186495e-05,9190,SORCS2,4.76746181590169
