coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,#NAME?
684,0.011387024,0.006481408,0.078946971,38927,1,0.628062702,0.08716135,CRLF1,1.102664526
685,-0.014024561,0.006166888,0.022961272,37725,1,0.018531783,7.43E-07,CRNN,1.639004049
686,0.11333894,0.006413366,1.28E-69,39121,1,0.642712002,0.258063665,CRTAC1,68.89293196
687,-0.012063802,0.006535584,0.064919563,38586,1,0.209280085,0.00026326,CRTAM,1.187624411
688,0.001804704,0.006085968,0.766823151,33838,1,0.014443105,2.70E-14,CRTAP,0.115304784
689,-0.003213607,0.006597452,0.626191557,38118,1,0.388893862,9.92E-07,CRX,0.203292792
690,-0.003473731,0.006175501,0.573777734,34781,1,0.196837758,4.23E-33,CRYBB1,0.241256309
691,-0.028279774,0.006045074,2.91E-06,34728,1,0.06859497,6.23E-45,CRYBB2,5.536760405
692,-0.009675899,0.006187874,0.117900176,34728,1,0.045136153,5.60E-09,CRYGD,0.928485548
693,-0.008181508,0.006114193,0.180867192,33653,1,0.134354367,2.22E-07,CRYM,0.742640203
694,-0.003641731,0.006142449,0.553265903,33861,1,0.238187801,3.65E-10,CRYZL1,0.257066094
695,-0.01338409,0.006123337,0.028840696,33663,1,0.232638333,0.151752778,CSDE1,1.53999426
696,-0.045570005,0.006310865,5.26E-13,38927,1,0.240100122,7.08E-09,CSF1,12.27904776
697,-0.009777667,0.005912113,0.098169806,34757,2,0.00456801,8.60E-43,CSF1R,1.008022068
698,-0.014601648,0.006060939,0.015995521,33663,1,0.068456614,2.46E-10,CSF2,1.796001611
699,-0.015908508,0.006631184,0.016442627,38586,1,1.038679145,0.028303466,CSF2RA,1.784028808
700,-0.015692184,0.006075004,0.009796617,33702,1,0.060986276,2.46E-06,CSF2RB,2.008923887
701,-0.045152827,0.006366141,1.34E-12,38166,1,0.629516311,5.62E-17,CSF3,11.87338021
702,-0.030873139,0.005977442,2.42E-07,33702,1,0.029059578,6.53E-31,CSF3R,6.616397431
703,0.00068628,0.006213609,0.912054841,34757,1,0.096966072,0.004215464,CSH1,0.039979047
704,-0.006930202,0.006095073,0.255539216,33702,1,0.044665856,0.015782628,CSNK1D,0.592542442
705,0.009473071,0.006182402,0.125466459,34740,1,0.415955723,8.24E-09,CSNK2A1,0.90147236
706,0.053549314,0.005639185,2.32E-21,34793,1,0.001221023,2.26E-81,CSPG4,20.63514269
707,-0.02164184,0.006110219,0.000397779,33653,1,0.056352083,5.44E-21,CSPG5,3.400357763
708,0.058703683,0.005995488,1.32E-22,33663,1,0.162164392,1.01E-36,CSRP3,21.88095248
710,-0.042059786,0.005797763,4.11E-13,38753,1,0.016484701,2.06E-07,CST3,12.38643754
711,-0.020533222,0.006366273,0.00125941,38202,1,1.140004906,7.48E-07,CST5,2.899832924
712,-0.038037276,0.006143257,6.01E-10,37701,1,0.360608222,1.35E-18,CST6,9.220929418
713,-0.037568623,0.006614022,1.36E-08,38798,1,0.676201035,9.39E-15,CST7,7.867934764
714,-0.034780924,0.006258825,2.76E-08,38262,1,0.698035955,2.24E-32,CSTB,7.558908852
715,-0.006707552,0.006167992,0.276833565,34079,1,0.158298321,0.054641528,CTAG1A_CTAG1B,0.557781254
716,-0.025487844,0.005951927,1.85E-05,34267,1,0.080398995,1.04E-20,CTBS,4.731684762
717,-0.004781837,0.006583802,0.467657315,38118,1,0.247169809,0.803027234,CTF1,0.330072268
718,-0.00625552,0.005384416,0.245331765,34793,1,0.001804289,1.34E-52,CTHRC1,0.610246216
719,-0.004489415,0.006235851,0.471569122,34793,1,0.089432525,0.509097809,CTLA4,0.32645464
720,0.001421639,0.00614848,0.817146912,33653,1,0.197715781,0.00289278,CTNNA1,0.087699856
721,-0.032279539,0.006706087,1.49E-06,38843,1,0.223305245,0.041557597,CTRB1,5.827134586
722,-0.01394668,0.006596964,0.034512618,38739,1,0.239330456,2.01E-23,CTRC,1.462022101
723,-0.009509085,0.006007658,0.11346994,34728,2,0.002957379,7.98E-29,CTRL,0.945119175
724,0.016952881,0.006409907,0.008177377,38739,1,0.631639732,0.060792719,CTSB,2.08738599
725,-0.019334682,0.006562191,0.003217132,38664,1,0.110905704,6.15E-09,CTSC,2.492531105
726,-0.035493562,0.005697144,4.71E-10,36263,1,0.046876183,1.10E-54,CTSD,9.326640895
727,-0.007066837,0.006049901,0.2427781,33976,1,0.132024724,3.23E-30,CTSE,0.614790492
728,-0.012728704,0.006522379,0.050999616,38977,1,0.480972549,6.35E-07,CTSF,1.292433092
729,-0.004332199,0.006362818,0.495963141,38054,1,0.144822932,2.76E-20,CTSH,0.304550598
