coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
255,0.010635006,0.009916168,0.283507491,31689,1,0.057233967,0.063645495,BEX3,0.547435462
256,-0.019721893,0.009596505,0.039876078,32859,1,0.016618241,1.4149704813726e-97,BGLAP,1.399287559
257,0.064016706,0.010443271,8.88244529637047e-10,35811,1,0.655132456,3.95696524828519e-09,BGN,9.051467458
258,0.002294223,0.00991379,0.816992063,31803,1,0.047687622,0.338549389,BHLHE40,0.087782162
259,0.009642728,0.009926487,0.331349568,31776,1,0.150035833,0.167085999,BHMT2,0.479713591
260,-0.073918258,0.010733021,5.79053029599187e-12,36491,1,1.174250581,2.40235577362262e-08,BID,11.23728166
261,-0.015809375,0.010947877,0.148731075,36562,1,1.193622811,0.235373888,BIN2,0.827598282
262,-0.024868257,0.010642055,0.01945554,35873,1,0.386613257,0.02532203,BIRC2,1.710956706
263,0.013152438,0.010814117,0.223905662,36849,1,1.338955706,4.58651562864213e-17,BLMH,0.649934924
264,-0.032459497,0.009650355,0.000770362,31885,1,0.1483057,4.20205673834217e-28,BLNK,3.113304954
265,-0.01905683,0.009884238,0.053863779,31803,1,0.08540476,0.389971897,BLOC1S2,1.268703183
266,-0.03098025,0.009990801,0.001931117,32796,1,0.229044447,0.387433146,BLOC1S3,2.7141915
267,-0.021731001,0.010687321,0.042024979,36562,1,0.088138438,5.11740738122903e-34,BLVRB,1.376492499
268,0.014583922,0.009319133,0.117605875,32092,2,0.001778394,1.55002818014625e-36,BMP10,0.929570984
269,0.045445083,0.010559434,1.68376816636539e-05,36265,1,0.119828087,1.34075633689898e-20,BMP4,4.773717706
270,-0.011941953,0.010528342,0.256690056,35842,1,1.686645833,6.08464420758458e-05,BMP6,0.590590955
271,-0.080327931,0.009649581,8.80049541780255e-17,32092,1,0.021440471,5.29466586141485e-07,BMPER,16.05549288
272,-0.0064662,0.010062291,0.52047712,32845,1,0.291832892,0.413070506,BNIP2,0.283598357
273,-0.039881407,0.009668771,3.72054566986293e-05,31885,1,0.156288879,1.21104649471582e-43,BNIP3L,4.42939336
274,0.005537023,0.010225218,0.588161841,35898,1,0.177886943,3.72195248083143e-12,BOC,0.230503155
275,-0.042766669,0.009719018,1.08448947007507e-05,31803,1,0.085586832,1.73312921334434e-49,BOLA1,4.96477466
276,-0.024189181,0.009722008,0.012848362,32004,1,0.044087941,1.60326693282078e-53,BOLA2_BOLA2B,1.89115222
278,0.002675333,0.010023713,0.789547349,36328,1,0.146473137,9.29515268060928e-65,BPIFB1,0.10262182
279,-0.093794314,0.008963367,1.38447485087026e-25,32783,2,0.001070582,3.32029106637789e-65,BPIFB2,24.85871493
280,-0.025756779,0.009953483,0.009665797,32409,1,0.187604133,4.2253537512181e-10,BRAP,2.014762335
281,0.014379066,0.009959701,0.148826155,32262,1,0.094267242,2.39882385670617e-05,BRD1,0.827320738
282,-0.001364928,0.009908283,0.890433948,31803,1,0.251048205,0.598720861,BRD2,0.050398291
283,0.004008454,0.009895631,0.685426472,31776,1,0.050627613,0.349328372,BRD3,0.164039126
