coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
208,-0.014984647,0.012417227,0.227534086,27100,1,0.837443447,0.458091144,ATP5IF1,0.642953534
209,-0.015588251,0.012103887,0.197801962,26501,1,0.64170755,0.376317946,ATP5PO,0.703769404
210,-0.027666711,0.011957612,0.020690038,26511,1,0.081935691,7.50E-15,ATP6AP2,1.684238702
211,-0.003888094,0.012362979,0.753147612,26960,1,3.114491233,0.059057461,ATP6V1D,0.123119897
212,-0.020491773,0.012068898,0.08953855,26459,1,0.478246058,0.000684058,ATP6V1F,1.047989945
213,-0.02960721,0.011218615,0.00831776,23578,1,0.056053707,2.59E-10,ATP6V1G1,2.079993595
214,-0.012217035,0.011296654,0.279497571,23437,1,0.088540404,0.016205419,ATP6V1G2,0.553621963
215,-0.030665994,0.01100466,0.005329973,24124,2,0.034659139,5.91E-13,ATRAID,2.273275017
216,-0.012278447,0.011032384,0.26574267,24232,1,0.011118689,0.00992257,ATRN,0.575538705
217,-0.009106272,0.012083702,0.451096422,26501,1,0.201558166,0.512138381,ATXN10,0.345730617
218,-0.005901527,0.011257493,0.600122827,23442,1,0.086547777,9.05E-06,ATXN2,0.221759854
219,-0.028578376,0.011391906,0.012125619,24221,1,0.075556693,0.00112043,ATXN2L,1.916296081
220,-0.021791937,0.011245281,0.052650243,24194,1,0.043963039,5.89E-24,ATXN3,1.278599623
221,-0.008086714,0.012311407,0.511284737,26957,1,0.820257264,0.373175194,AXIN1,0.291337172
222,-0.011995048,0.012206314,0.325767808,27022,1,1.925752207,0.002738729,AXL,0.487091835
223,-0.011047703,0.011321311,0.329157228,24221,1,0.156417843,2.62E-05,AZI2,0.482596603
224,-0.056376638,0.011767086,1.67E-06,26072,1,0.231248356,8.65E-47,AZU1,5.777732263
225,-0.053060274,0.010482512,4.18E-07,24232,4,0.000629552,1.00E-74,B2M,6.378430739
226,0.005849979,0.011304211,0.604809025,23437,1,0.030961651,0.001182033,B3GAT3,0.218381737
227,0.006101162,0.010880725,0.57498612,23578,1,0.020721661,1.76E-16,B3GNT7,0.240342639
228,-0.050007016,0.012005979,3.12E-05,27100,1,2.510643827,0.489338079,B4GALT1,4.505740055
229,-0.021014678,0.011948651,0.07863146,27052,1,0.144608393,0.000871837,B4GAT1,1.104403661
230,-0.017456769,0.011303993,0.122528894,23501,1,0.119549621,0.455612805,BABAM1,0.911761487
231,-0.020328151,0.012284978,0.097993765,26957,1,0.405605862,1.48E-13,BACH1,1.008801554
232,0.07804745,0.01201461,8.39E-11,26791,1,0.134382878,0.02615249,BAG3,10.07621028
233,-0.034102952,0.011067869,0.002063668,23501,1,0.110088244,5.92E-35,BAG4,2.68536012
234,0.036317131,0.012059374,0.002601823,26518,1,1.299803853,7.48E-12,BAG6,2.584722241
235,-0.085906215,0.011430124,5.84E-14,26511,1,0.190390912,4.58E-05,BAIAP2,13.23385505
236,-0.028743628,0.011859726,0.01537276,26511,1,0.767766678,5.64E-06,BAMBI,1.813248156
237,-0.007614291,0.012291969,0.535623537,26957,1,2.091300119,2.46E-06,BANK1,0.271140347
238,-0.038514439,0.010983323,0.000454644,24194,1,0.290563174,1.72E-46,BAP18,3.342328575
239,-0.016736658,0.011353664,0.140462736,23599,1,0.607138435,2.18E-09,BATF,0.852438876
