coding,beta,se,pvalue,n,protein,-Log10P
61,-0.00328170458999714,0.00939342241992188,0.726820615954328,24230,ADIPOQ,0.138572762613008
62,-0.109411026387575,0.0101619411849286,5.60011808989591e-27,27257,ADM,26.2518028149135
63,-0.00796327294093527,0.0112964174664016,0.480855885830361,23435,ADRA2A,0.317985063681511
64,0.00365413602342693,0.0110975900571883,0.741952314189624,23687,AFAP1,0.129624006243628
65,-0.0568600577149081,0.0105086396056679,6.33418084402345e-08,24230,AFM,7.19830954146296
66,-0.0324755509683072,0.011890886766151,0.00631590716501428,26741,AFP,2.1995642621372
67,0.0143219720457952,0.0112265299561734,0.202065173161115,23441,AGBL2,0.694508532636674
68,-0.0421634756376673,0.0116645515698912,0.000301282300065415,26906,AGER,3.52102638180064
69,-0.0356926854255389,0.0118220583290384,0.00253719074540704,26372,AGR2,2.59564688139328
70,-0.0230592418221926,0.0117474335532752,0.0496662364949435,26463,AGR3,1.30393874782446
71,-0.134054453133741,0.0114345325838991,1.15018696767502e-31,27098,AGRN,30.9392315575337
72,-0.0885201173070121,0.0122762523303783,5.71246121065197e-13,27248,AGRP,12.2431767359036
73,0.0157549995796453,0.0111239242432017,0.156695672510254,24218,AGT,0.804942997346782
74,-0.0862610994326983,0.0118936250655458,4.19522317055963e-13,26922,AGXT,12.3772449313396
75,-0.0126938011037149,0.0122173682708957,0.298815767641116,26922,AHCY,0.524596489792191
76,0.0659337277889331,0.0103574549815122,1.97823536519028e-10,23576,AHNAK,9.70372203846062
77,0.0317322920861022,0.0109859279773696,0.00387499447825447,23576,AHNAK2,2.41172891201324
78,-0.0133038158651,0.011374791733874,0.242178517566079,24118,AHSA1,0.61586438355586
79,-0.0374214985106374,0.0112572346548961,0.00088798578246402,24218,AHSG,3.05159398765254
80,-0.0334973537117103,0.011883774090683,0.00482465758043732,27001,AHSP,2.31653350433131
81,-0.0211847650743104,0.0113041063693079,0.060932175504174,23597,AIDA,1.2151533156784
82,-0.0168541618612493,0.0120251356477385,0.161053106861282,26509,AIF1,0.793030892826928
83,-0.0208961356429208,0.01124573922599,0.0631618803775795,23576,AIF1L,1.19954494919176
84,-0.0676005343948731,0.0120467547712676,2.025367267931e-08,26908,AIFM1,7.69349621295631
85,-0.0251109156582751,0.0120417788924247,0.0370500156541689,26922,AK1,1.4312116041889
86,-0.0337989032173355,0.0113683561103391,0.00295129135153997,24192,AK2,2.52998791482391
87,0.0828391994567668,0.0111946027478006,1.4080197956235e-13,23687,AKAP12,12.8513912393206
88,-0.00192210323867877,0.0120469280233348,0.873235746769835,26509,AKR1B1,0.0588684943244159
89,-0.0316328751828144,0.0112665193745601,0.00499394641437356,23597,AKR1B10,2.30155612199002
90,-0.020789015572008,0.0120283994836107,0.0839411443790706,26516,AKR1C4,1.07602511429861
91,-0.0555438367876378,0.010951011799469,3.96593357435358e-07,23499,AKR7L,6.40165456409271
92,-0.041588917137589,0.012016969306652,0.000539323017892921,26499,AKT1S1,3.26815104396076
93,-0.00566663583094673,0.0114172041930582,0.619670134555391,24219,AKT2,0.207839434478604
94,0.0157944245776281,0.0119963476337676,0.187983246869141,26394,AKT3,0.725880853483594
95,-0.0317295281932671,0.0114378420369709,0.00553951894257788,27231,ALCAM,2.2565279482057
96,-0.0670317166057765,0.0117165713399581,1.0695116187487e-08,27050,ALDH1A1,7.97081449306437
97,-0.0515312165292763,0.0113444210039568,5.58794306686933e-06,24118,ALDH2,5.25274802737361
98,-0.0120771091176046,0.0114630585514018,0.292090310799398,26917,ALDH3A1,0.534482849175536
99,-0.0523376292254412,0.0113466059246382,3.99651731773008e-06,24219,ALDH5A1,5.39831830080287
100,-0.00296147741472865,0.0113740601469405,0.794579728885868,23797,ALMS1,0.0998625187486985
101,-0.00655160983060483,0.0112743425822649,0.561173294205296,23499,ALPI,0.250903004883957
102,-0.0118808000203008,0.0109124045525157,0.276277135772892,26958,ALPP,0.558655055070972
103,0.00897018092623855,0.0121012648431129,0.458542499332476,26563,AMBN,0.338620406187609
104,-0.0571411793162206,0.0113309380801927,4.61390065676462e-07,27214,AMBP,6.33593176063491
105,-0.00398892095526558,0.0114816455532742,0.728280945658621,24229,AMDHD2,0.137701052538617
106,-0.040414265588098,0.0120317315137855,0.000783429098662408,26499,AMFR,3.10600030162423
107,-0.00263032520200038,0.0113447742334947,0.816653841918383,23597,AMIGO1,0.0879619904708173
108,0.0136172781699322,0.0122975055007089,0.268165331970232,26958,AMIGO2,0.571597367823728
109,-0.0701755372535693,0.0119189498055053,3.9624768995481e-09,26563,AMN,8.40203325661723
110,-0.0476274807552863,0.0101284000829034,2.58608679033214e-06,23687,AMOT,5.58735690407673
