coding,beta,se,pvalue,n,protein,-Log10P
1711,0.00456378047858572,0.00558531375353593,0.41388982777934,9440,METAP2,0.383115247176405
1712,0.0155152654339783,0.00535823739988156,0.00379336943695924,9204,MFAP3,2.42097485921661
1713,-0.00162657800186673,0.00517881036632718,0.753465981405724,7975,MFAP3L,0.122936351075019
1714,0.0145204802518298,0.00486536027698239,0.00284937162286194,8010,MFAP4,2.54525090518905
1715,0.0189132788807655,0.00505633115847156,0.000184730941399981,9459,MFAP5,3.73346035656927
1716,0.0046000128806232,0.00528807278784739,0.384385771241588,9387,MFGE8,0.415232696928658
1717,0.00288535597918143,0.00554551024009175,0.602863373431335,9402,MGLL,0.219781100609442
1718,0.00995016584327645,0.00552814941025705,0.0719073189538935,9340,MGMT,1.14322690350417
1719,0.0159062241659389,0.00531826386501401,0.00278906957162204,9416,MIA,2.55454065239056
1720,0.000197156378356477,0.00513791338012838,0.969391370049032,7975,MICALL2,0.0135008508777194
1721,0.000735790429871076,0.00535248619441084,0.890664612138151,9340,MICB_MICA,0.0502858027179056
1722,0.00773077955519308,0.00545757923605959,0.156656104667187,9370,MIF,0.80505267660982
1723,0.00353264929999798,0.00532747584302444,0.507283097665331,9225,MILR1,0.294749607844174
1724,-0.00131257222539676,0.00514243578916002,0.798541649865228,8151,MINDY1,0.0977024272588574
1725,0.00125937300421426,0.00518669322523254,0.808159875324402,8185,MINK1,0.0925027158307462
1726,0.00625766741070609,0.00549898656856599,0.255163413231302,9315,MITD1,0.593181597078069
1727,0.00384962224058826,0.00514963717897508,0.45475245565193,7966,MKI67,0.342224947078765
1728,0.00612437195562213,0.00516379589835475,0.235649563833876,7913,MLLT1,0.627733359743582
1729,-0.00443347099440208,0.00506665303574349,0.381580378264187,9340,MLN,0.418413965809362
1730,0.000759981085890981,0.00512715864964233,0.882167176936876,9340,MME,0.0544491051842079
1731,0.00690155241560559,0.00525809772301854,0.189365661808665,9045,MMP1,0.722698769994999
1732,0.00445703349814084,0.00546073261034884,0.414408291123776,9357,MMP10,0.382571564186367
1733,0.0132346931413276,0.00486270248836462,0.00650721138808448,9386,MMP12,2.18660508489247
1734,0.0050296340562868,0.00532816531528843,0.345209217926692,9211,MMP13,0.461917616081835
1735,-0.000475178085143204,0.00519263285177176,0.927089565243678,8186,MMP15,0.0328783070506435
1736,0.0060135673035207,0.00415442824602832,0.147788200882222,9387,MMP3,0.830360237769972
1737,0.00862175121966159,0.00502480854218615,0.0862256756032161,9192,MMP7,1.06436339412382
1738,0.0176531141313247,0.00535326955246209,0.000978642196985208,9455,MMP8,3.00937606231128
1739,0.0165929647434843,0.00523932454011237,0.00154512923071165,9367,MMP9,2.811035191425
1740,0.00436401264726007,0.00517236282413404,0.398852761181476,7950,MMUT,0.399187397064606
1741,0.00103255244511347,0.00512213772461664,0.840245360369396,7975,MN1,0.0755938769204099
1742,-0.0073820281426481,0.00526232983263681,0.160713333202141,8047,MNAT1,0.793948091525951
1743,0.00341332859262136,0.00545860720465593,0.531782071392336,9350,MNDA,0.274266308649111
1744,0.00469249575261633,0.00517456392512711,0.364519336394016,8010,MOCS2,0.438279429029178
1745,0.00876170019383314,0.0052131063799619,0.0928530975011529,9450,MOG,1.03220360398429
1746,-0.000574224057356285,0.0051429032936932,0.91110075369923,8185,MORC3,0.0404335940960409
1747,0.0109056014634256,0.00521040369559039,0.0363765660155118,8047,MORF4L1,1.43917830117426
1748,0.00463403390827924,0.00507015112518881,0.360753474702593,7913,MORF4L2,0.442789477180012
1749,-0.00761341368513912,0.00507336087564997,0.133482275523117,7913,MORN4,0.874576398370934
1750,0.0121221610496593,0.00537147154223901,0.0240460138553241,9204,MPHOSPH8,1.61895690698734
