coding,beta,se,pvalue,n,-Log10P,protein
167,-0.0120700006642202,0.00618841107317033,0.0511341427150927,34621,1.29128902077978,ARG2
168,0.0222611906821973,0.00659064761154418,0.000731696175047841,38055,3.13566921524125,ARHGAP1
169,-0.0112964371554363,0.00657345499635602,0.085714845958249,38055,1.06694395101317,ARHGAP25
170,-0.0148738033148478,0.00616954612009426,0.015920974834161,34141,1.79803034412753,ARHGAP30
171,0.00248784431345473,0.00612271209908209,0.684502381324125,33971,0.164625036654713,ARHGAP45
172,-0.0106080409319868,0.00612582161028205,0.0833374875044808,33510,1.07915959698395,ARHGAP5
173,-0.0133842701252994,0.00616240409719891,0.0298681833366984,34722,1.5247911915519,ARHGEF1
174,-0.00107577837655944,0.00617448341216901,0.861685963150025,34734,0.0646509816466748,ARHGEF10
175,0.00175612175298831,0.0067223738384075,0.793912399980992,38743,0.100227414831953,ARHGEF12
176,-0.0172919013798247,0.00612504413605997,0.00475826541546835,33648,2.32255133672952,ARHGEF5
177,0.0018782527047365,0.00613173538956222,0.759365451714484,33648,0.11954916551999,ARID3A
178,-0.00841660780934537,0.0065818010636845,0.200985968902769,38041,0.69683426019543,ARID4B
179,-0.000733062107838267,0.00613640241451237,0.904910676660608,33657,0.0433942876986001,ARL13B
180,-0.00550875461688589,0.00614807094414691,0.37025195970511,33657,0.431502634125152,ARL2BP
181,-0.00408526094365294,0.00613871028134169,0.505740593083811,33648,0.296072186480612,ARMCX2
182,-0.0130200588707798,0.0066157791708858,0.0490716962563501,38160,1.30916892954628,ARNT
183,-0.00409600567212026,0.00613360239728003,0.504267305646469,33657,0.297339188568243,ARNTL
184,-0.0366524836190605,0.00648262169770359,1.57891532443862e-08,38837,7.80164116012161,ARSA
185,-0.0230111127635434,0.0066024568316113,0.000492249642566598,38697,3.3078145905406,ARSB
186,-0.00958026734280275,0.00588794882963844,0.103724493662384,38813,0.984118676529545,ART3
187,-0.00957065324318644,0.00615005093075108,0.119672115678191,33648,0.922007031029144,ART5
188,-0.00970923297071165,0.00664450354971937,0.143957058263114,38160,0.841767036658959,ARTN
189,-0.0178454954913531,0.00608084963012826,0.00334086098839425,34447,2.47614159476872,ASAH1
190,-0.0267930769159572,0.00635563382602281,2.49635307037141e-05,38580,4.60269399043594,ASAH2
191,-0.0634826562416701,0.00590978500383383,7.05807764587044e-27,38580,26.1513135682787,ASGR1
192,-0.0312938124315235,0.00597116302565208,1.60793938029925e-07,34751,6.7937303282852,ASGR2
193,0.0257970365164608,0.0060094029690503,1.7692826299588e-05,34775,4.75220278618173,ASPN
194,-0.00450373832500008,0.00614427820026944,0.463565124820532,34734,0.333889244554265,ASPSCR1
195,-0.00389244725906658,0.00611923114232278,0.524715086409362,33855,0.280076448951752,ASRGL1
196,-0.0115211252523031,0.00572573467417778,0.0442104590705685,33657,1.35447497546328,ASS1
197,-0.0155028487403291,0.00661075256589999,0.019027299000931,38041,1.72062285712787,ATF2
198,-0.00617380738677901,0.00613766357184952,0.314476304124953,33510,0.502412073193216,ATF4
199,-0.00805276467173186,0.00618036645057368,0.192597391108119,34644,0.71534960005168,ATG16L1
200,-0.00718861343608533,0.00651380300389955,0.269774975430984,38055,0.568998338341966,ATG4A
201,-0.0155818471264479,0.00674982644017716,0.0209775993489395,38971,1.67824421343334,ATOX1
202,0.00499477546060181,0.00611219056103996,0.413829900879068,33657,0.383178133009012,ATP1B1
203,-0.00183888567514875,0.00612244339345402,0.763910832982246,33657,0.116957331219796,ATP1B2
204,-0.0140719267872833,0.00614267040663606,0.0219783362850816,33657,1.65800518586864,ATP1B3
205,-0.0102140117173566,0.00614197441134633,0.0963247809923908,33510,1.01626196974195,ATP1B4
206,-0.0109239295526149,0.00612363060927217,0.0744493271325833,33657,1.12813922301492,ATP2B4
207,-0.00829171776213858,0.00614979995315042,0.177573996168826,33657,0.750620631728817,ATP5F1D
208,-0.00181819942715901,0.00675792980479756,0.787895091040524,38921,0.103531605372549,ATP5IF1
209,0.000363599086017883,0.00660146329427814,0.95607616695136,38041,0.0195075077563168,ATP5PO
210,-0.0138714030887667,0.00651234838632356,0.0331767316796799,38055,1.4791663996074,ATP6AP2
211,0.00830234814479856,0.00672663936065773,0.217117618496813,38697,0.663304933314428,ATP6V1D
212,-0.0108025957050222,0.00657748067511904,0.100523559814981,37973,0.9977321402483,ATP6V1F
213,-0.0118012865787193,0.00611994276844278,0.0538220960580034,33855,1.26903939299555,ATP6V1G1
